"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"ACP5",7.66220631422483e-108,1.70167757183432,0.071,0.481,2.02933534232245e-103,0.219178082191781,9,0.526,7,"ACP5","p_val_adj<0.05"
"MUC20",2.00129750461453e-131,1.69907563520919,0.674,0.892,5.30043644097159e-127,0.410404624277457,11,0.520237452779277,10,"MUC20","p_val_adj<0.05"
"ZNF185",2.51371248258881e-153,1.69647889621001,0.125,0.631,6.65756751013646e-149,0.3515625,10,0.701219512195122,10,"ZNF185","p_val_adj<0.05"
"SLC25A43",5.43425615999848e-128,1.69631583396841,0.104,0.564,1.4392627439756e-123,0.495327102803738,8,0.718430034129693,10,"SLC25A43","p_val_adj<0.05"
"SAMD9",9.4546976529645e-151,1.68545978323841,0.16,0.685,2.50407667338765e-146,0.408536585365854,7,0.531601123595506,10,"SAMD9","p_val_adj<0.05"
"ABLIM3",4.69487161409192e-23,1.68323045717129,0.009,0.108,1.24343674699224e-18,0.333333333333333,5,0.267857142857143,8,"ABLIM3","p_val_adj<0.05"
"LOC401585",7.118312598581e-88,1.67709352399049,0.107,0.475,1.88528509173418e-83,0.545454545454545,7,0.542046605876393,9,"LOC401585","p_val_adj<0.05"
"C1orf61",3.0091274842367e-37,1.67374921316387,0.012,0.167,7.96967414200089e-33,0.5,4,0.557471264367816,9,"C1orf61","p_val_adj<0.05"
"RAB9A",3.0125850995192e-116,1.66931790005166,0.486,0.788,7.97883163607661e-112,0.398797595190381,9,0.583638583638584,10,"RAB9A","p_val_adj<0.05"
"BIRC3",1.89383914468058e-169,1.66683318684702,0.425,0.844,5.0158329746865e-165,0.43348623853211,9,0.547062179121506,10,"BIRC3","p_val_adj<0.05"
"TRIM16L",2.11001818365273e-139,1.66643420381514,0.303,0.738,5.58838315940425e-135,0.382636655948553,9,0.582517938682322,10,"TRIM16L","p_val_adj<0.05"
"CDKN3",1.35890265902749e-22,1.66281774351826,0.056,0.184,3.59905369243432e-18,0.508771929824561,10,0.662303664921466,10,"CDKN3","p_val_adj<0.05"
"HTR3A",3.04191662907941e-80,1.65749881692825,0.069,0.406,8.05651619211681e-76,0.746478873239437,4,0.801897983392645,8,"HTR3A","p_val_adj<0.05"
"HLA-DOB",6.04269048565203e-54,1.65311935495134,0.02,0.242,1.60040657512494e-49,0.380952380952381,5,0.651394422310757,8,"HLA-DOB","p_val_adj<0.05"
"LDHA",1.17539421622441e-176,1.65260017114153,0.811,0.986,3.11303158167035e-172,0.404561824729892,12,0.468521229868228,11,"LDHA","p_val_adj<0.05"
