"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"C20orf24";6,72422367275159e-133;-0,616031307128168;0,635;0,94;1,78091063972826e-128
"TIMP3";8,87842039166413e-133;1,14298243057735;0,64;0,197;2,35144964073225e-128
"PSMB9";2,54532593006573e-132;-0,718909869070406;0,684;0,951;6,74129572577908e-128
"AP3S1";3,40787583223014e-132;-0,59543714464214;0,437;0,882;9,02575914166154e-128
"IDO1";4,4486764008993e-132;-1,15679441663931;0,198;0,743;1,17823194477818e-127
"CLEC2B";6,4683622789466e-132;-0,365428409078103;0,023;0,424;1,71314574957901e-127
"PSCA";6,49654301446873e-132;-0,553011834235365;0,072;0,48;1,72060941738204e-127
"TOB2";3,27790042341713e-131;0,719558783319973;0,823;0,733;8,68151927142026e-127
"CDCP1";5,20528480793905e-131;-0,703526682489145;0,407;0,847;1,37861968138266e-126
"S100P";8,4564248963361e-131;-1,84258443676766;0,295;0,626;2,23968413379462e-126
"CD82";1,85508850086946e-130;-0,865049902823694;0,666;0,927;4,91320189455277e-126
"REEP5";2,55474368731947e-130;-0,665002342963152;0,734;0,963;6,76623865586561e-126
"GPI";2,72391378202866e-130;-0,863346856937515;0,822;0,971;7,2142856517029e-126
"SLC41A2";7,31062471215185e-130;-0,39774460000018;0,166;0,638;1,93621895501342e-125
"BCAP31";1,30365463772625e-129;-0,677463133074182;0,888;0,972;3,45272930801798e-125
"DHRS7";1,36764400697134e-129;-0,588236705373953;0,495;0,921;3,6222051524636e-125
"PTGS2";3,48606273840727e-129;0,679411058289231;0,57;0,129;9,23283716267165e-125
"RPS28";7,51123461811281e-129;0,53505346988006;0,932;0,972;1,98935048860718e-124
"EFNA5";1,21346502644562e-128;-0,624136084769541;0,274;0,721;3,21386212254122e-124
"ITGB8";1,46520911790953e-128;-0,41164748612475;0,24;0,78;3,88060634878339e-124
"SLC34A2";1,65621592484122e-128;1,185084801881;0,911;0,612;4,38648787694198e-124
