"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"CEACAM5",1.52780667309249e-28,0.705518270766851,0.355,0.16,4.04639597368547e-24,0.704433497536946,6,0.393491124260355,10,"CEACAM5","p_val_adj<0.05"
"IFI6",6.91650025783186e-27,0.704554162860674,0.827,0.646,1.83183509328677e-22,0.403805496828753,10,0.444199706314244,11,"IFI6","p_val_adj<0.05"
"SMPDL3B",8.25969081525622e-11,0.703714277101723,0.537,0.491,2.18757911242061e-06,0.543973941368078,8,0.722705314009662,9,"SMPDL3B","p_val_adj<0.05"
"WNK1",5.66279039373069e-53,0.700004174816725,0.843,0.782,1.49979003577957e-48,0.358921161825726,9,0.526379624014554,11,"WNK1","p_val_adj<0.05"
"NOD1",5.95805303790287e-69,0.697094677746954,0.561,0.243,1.57799034708857e-64,0.495327102803738,8,0.541015625,10,"NOD1","p_val_adj<0.05"
"HMGN3",1.77317270008108e-66,0.691070856696039,0.899,0.865,4.69624789616474e-62,0.3715953307393,9,0.513424657534247,11,"HMGN3","p_val_adj<0.05"
"HLA-DPA1",9.21769286148083e-39,0.689716593790533,0.864,0.829,2.4413059543632e-34,0.356275303643725,9,0.44082332761578,10,"HLA-DPA1","p_val_adj<0.05"
"KIAA0319L",7.05964159917035e-42,0.685496141271646,0.848,0.696,1.86974607754027e-37,0.354639175257732,8,0.628065395095368,11,"KIAA0319L","p_val_adj<0.05"
"GSTA4",5.83559047947643e-115,0.684542266772954,0.586,0.155,1.54555613848933e-110,0.355223880597015,9,0.434250764525994,10,"GSTA4","p_val_adj<0.05"
"PMVK",5.96908123395259e-39,0.681063873661666,0.778,0.755,1.58091116481234e-34,0.373033707865169,9,0.559322033898305,11,"PMVK","p_val_adj<0.05"
"MRPL14",1.25854918628479e-33,0.680605903100092,0.9,0.947,3.33326751987527e-29,0.363106796116505,10,0.477716574862293,10,"MRPL14","p_val_adj<0.05"
"PTGS2",1.86659904138995e-130,0.679411058289231,0.57,0.129,4.94368756112128e-126,0.374233128834356,7,0.600732600732601,8,"PTGS2","p_val_adj<0.05"
"DHCR24",2.34260799595772e-29,0.677728825733752,0.841,0.767,6.20439727729402e-25,0.365904365904366,9,0.568603213844252,11,"DHCR24","p_val_adj<0.05"
"LRRN4",7.39465794894938e-118,0.676972480652947,0.435,0.064,1.95847515777924e-113,0.578313253012048,6,0.352941176470588,8,"LRRN4","p_val_adj<0.05"
"CRTAC1",2.79520671882086e-106,0.672873232027299,0.29,0.018,7.40310499479706e-102,0.765060240963855,7,0.41025641025641,6,"CRTAC1","p_val_adj<0.05"
